,Pos,School,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Height,Drafted
194,CB,Penn State,194.0,4.54,37.5,,120.0,6.9,4.09,5.75,1
195,CB,Texas Tech,184.0,4.44,35.5,20.0,117.0,6.73,4.0,5.75,1
196,QB,Tennessee,227.0,4.58,34.5,,113.0,,,6.17,1
197,TE,Mississippi State,271.0,5.0,29.0,,101.0,,,6.42,0
198,RB,Colorado State,206.0,4.63,32.0,,108.0,7.08,4.12,5.92,0
199,OT,Oklahoma,361.0,5.5,,24.0,,,,6.42,1
200,OT,Wisconsin,315.0,5.39,,28.0,,,,6.5,1
201,OT,Kansas State,328.0,5.31,26.0,23.0,97.0,7.72,4.71,6.33,1
202,DT,Mississippi State,289.0,5.09,27.5,22.0,102.0,7.73,4.61,6.33,1
204,RB,LSU,212.0,4.69,33.0,,120.0,6.89,4.15,6.0,1
205,C,New Mexico,298.0,5.12,34.0,25.0,110.0,7.46,4.43,6.25,1
206,DE,Washington State,284.0,4.99,30.5,27.0,113.0,7.49,4.52,6.42,1
207,OG,Miami (FL),295.0,5.39,26.0,18.0,97.0,7.84,4.78,6.25,1
208,ILB,California,246.0,4.97,27.5,24.0,110.0,7.37,4.43,6.08,0
209,WR,Wyoming,203.0,4.81,35.5,,117.0,7.01,4.24,6.25,0
210,WR,Duke,196.0,4.57,36.0,,117.0,7.16,4.11,6.0,0
211,OG,Troy,320.0,5.45,24.5,34.0,94.0,8.37,5.06,6.25,0
212,WR,Richmond,201.0,4.52,37.5,,129.0,6.91,4.09,6.08,1
213,OLB,Virginia Tech,223.0,4.6,,21.0,,,,5.92,1
214,RB,Louisville,231.0,4.57,36.0,23.0,117.0,,,6.08,1
215,S,Michigan State,211.0,4.56,,24.0,,,,5.75,1
216,ILB,BYU,250.0,4.77,33.0,18.0,113.0,6.93,4.17,6.17,1
217,FB,Texas Tech,221.0,4.65,37.5,23.0,117.0,7.05,4.21,6.0,1
218,WR,Jackson State,216.0,4.6,34.5,,119.0,7.06,4.17,6.25,1
219,RB,USC,182.0,4.5,36.0,18.0,121.0,,,5.67,1
220,QB,Tennessee State,207.0,4.75,,,,,,6.17,0
221,S,Wisconsin,183.0,4.56,37.5,,123.0,7.04,4.1,6.08,1
222,OT,Hawaii,317.0,5.34,25.5,27.0,98.0,7.82,4.74,6.33,1
223,WR,Arizona,175.0,4.43,37.5,,123.0,6.96,4.04,5.83,1
224,TE,BYU,263.0,5.03,28.0,23.0,106.0,,,6.33,0
225,C,Oklahoma,277.0,5.06,27.5,17.0,94.0,7.59,4.72,6.25,0
226,ILB,Marshall,235.0,4.72,34.0,16.0,114.0,7.3,4.24,6.08,0
227,CB,California,193.0,4.6,,,,,,5.92,1
228,DE,Indiana,253.0,,,,,,,6.33,0
229,S,Colorado State,208.0,4.63,35.0,17.0,115.0,6.81,4.21,6.08,1
230,QB,Marshall,229.0,4.81,33.5,,111.0,7.12,4.16,6.25,1
