,Pos,School,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Height,Drafted
1797,C,Arizona State,309.0,5.31,32.5,,109.0,7.49,4.45,6.25,1
1799,CB,Miami (OH),203.0,4.44,34.0,20.0,,,3.99,5.92,1
1800,P,Ball State,226.0,4.88,,,,,,6.0,1
1801,S,Rice,211.0,4.64,37.0,24.0,115.0,,,6.08,0
1802,CB,Cincinnati,192.0,4.39,39.0,15.0,115.0,7.16,4.08,5.83,1
1803,TE,USC,265.0,5.04,,18.0,,,,6.17,0
1804,RB,Tennessee,225.0,4.61,,,,,,5.92,1
1805,RB,Alabama,192.0,4.5,,15.0,,,,5.83,0
1806,C,North Dakota State,301.0,4.96,34.5,31.0,108.0,7.53,4.48,6.33,0
1807,DE,Kansas State,267.0,4.88,,,,,,6.58,0
1808,C,Nebraska,305.0,4.84,,29.0,,,,6.25,1
1809,CB,Michigan,198.0,4.52,36.0,23.0,125.0,6.95,3.96,6.08,1
1810,WR,Northern Colorado,241.0,4.46,39.0,,,,,6.42,1
1811,TE,Iowa,266.0,4.75,33.0,23.0,113.0,7.5,4.48,6.17,1
1812,RB,Southern Illinois,267.0,4.56,37.0,19.0,118.0,7.53,4.46,6.33,1
1813,DE,Wisconsin,266.0,4.81,37.5,,122.0,7.56,4.37,6.33,1
1814,DT,Wisconsin,310.0,5.1,28.5,,102.0,7.79,4.47,6.17,1
1815,OT,TCU,330.0,5.41,27.0,,91.0,8.15,4.7,6.67,0
1816,CB,Texas,197.0,4.43,,18.0,,7.15,4.1,5.92,1
1817,OLB,Texas,242.0,4.52,37.5,,120.0,7.2,3.87,6.25,1
1818,OG,Mississippi,321.0,5.45,27.5,21.0,104.0,7.71,4.71,6.5,1
1819,DT,Florida State,305.0,4.91,,,,,,6.33,1
1820,K,Boise State,201.0,5.05,,,,,,6.08,0
1821,WR,Oklahoma,210.0,4.42,37.0,,114.0,7.03,4.08,6.08,1
1822,TE,Arkansas,242.0,4.37,39.5,,129.0,,,6.5,1
1823,CB,West Virginia,187.0,4.38,,,,,,5.75,1
1824,FB,Texas A&M,254.0,4.68,33.0,27.0,113.0,7.43,4.2,6.17,0
1825,OT,Toledo,319.0,5.28,31.5,,,,,6.33,1
1826,TE,Boston Col.,247.0,4.87,35.5,17.0,113.0,7.34,4.34,6.25,0
1827,OG,Utah,344.0,5.34,29.0,26.0,98.0,7.75,4.54,6.25,1
1828,OT,Central Michigan,337.0,5.52,33.0,28.0,110.0,7.78,4.76,6.58,1
1829,DE,Connecticut,271.0,4.87,36.0,20.0,118.0,7.57,4.34,6.42,0
1830,CB,Wake Forest,189.0,4.43,,12.0,,,,5.67,1
1831,ILB,South Carolina,243.0,4.62,34.0,19.0,121.0,7.16,4.32,6.17,0
1832,QB,Louisville,208.0,4.56,31.0,,111.0,7.03,4.09,6.0,1
1833,S,Wisconsin,191.0,4.63,,19.0,,,,5.67,0
1834,OT,Michigan State,321.0,5.62,30.0,,108.0,7.95,4.41,6.75,0
1835,QB,SMU,208.0,4.67,30.5,,108.0,6.77,4.08,6.17,0
1836,DE,Baylor,257.0,4.74,38.5,27.0,121.0,7.22,4.07,6.33,1
1837,OT,Texas Tech,306.0,5.3,32.0,14.0,101.0,7.74,4.68,6.5,1
1838,WR,California,217.0,4.5,,,,,,6.25,1
1839,S,Boise State,205.0,4.46,36.5,17.0,127.0,7.33,,6.08,1
1840,WR,Kansas State,213.0,4.52,39.0,,121.0,7.13,4.3,6.08,0
1841,OG,Fresno State,307.0,5.06,31.5,21.0,95.0,7.52,4.44,6.33,1
1842,WR,South Florida,222.0,4.55,38.0,,120.0,7.2,4.34,6.33,0
1843,WR,West Virginia,185.0,4.51,38.0,,121.0,6.81,3.95,6.0,1
1844,OG,Alabama,304.0,4.92,35.5,35.0,117.0,7.37,4.16,6.42,1
1845,WR,Kansas State,181.0,4.28,35.5,,123.0,,,5.92,1
1846,FB,Texas,248.0,4.98,,,,,,6.08,0
1847,WR,Indiana (PA),211.0,4.4,37.0,,120.0,7.19,4.21,6.08,1
1848,ILB,Louisville,245.0,4.5,,34.0,,,,6.0,1
1850,CB,Florida State,193.0,4.44,38.5,23.0,130.0,,4.04,6.0,1
1851,DT,Oklahoma,307.0,5.01,35.5,28.0,112.0,7.71,4.42,6.08,0
1852,CB,Arizona State,185.0,4.32,45.0,6.0,136.0,6.9,4.32,5.67,0
1853,RB,North Carolina State,235.0,4.71,35.0,27.0,117.0,7.34,4.19,5.83,0
1854,OT,Iowa,329.0,5.43,27.0,26.0,92.0,7.97,4.8,6.67,1
1855,DE,Kansas,262.0,4.58,34.0,16.0,120.0,7.11,4.07,6.25,1
1856,OT,North Carolina,291.0,5.3,,,,,,6.33,0
1857,QB,Florida State,218.0,4.71,34.5,22.0,128.0,6.93,4.08,6.25,1
1858,DT,Memphis,318.0,5.4,27.0,26.0,96.0,8.21,4.87,6.33,0
1859,DE,Maryland,272.0,4.64,,25.0,,,,6.33,1
1860,TE,Virginia,256.0,4.79,,,,,,6.42,1
1861,ILB,Oklahoma,247.0,4.85,33.5,15.0,,7.49,4.38,6.17,1
1862,RB,Louisiana Tech,210.0,4.46,36.0,19.0,117.0,7.22,4.1,5.67,1
1863,DE,Texas A&M,276.0,5.05,34.5,19.0,115.0,7.38,4.32,6.42,1
1864,DE,Florida State,262.0,4.84,29.5,22.0,108.0,7.62,4.5,6.33,1
1865,WR,Toledo,177.0,4.52,,,,,,5.75,0
1866,RB,Oklahoma State,212.0,4.66,33.5,19.0,108.0,7.02,4.12,5.83,1
1867,ILB,San Diego State,235.0,4.75,,25.0,,,4.31,6.08,1
1868,DT,Missouri,314.0,5.08,27.5,27.0,100.0,8.21,4.64,6.17,1
1869,C,Bowling Green,321.0,5.29,,28.0,,,,6.33,1
1870,OT,Tennessee,306.0,5.3,,,,,,6.42,0
1871,WR,Texas A&M,202.0,4.39,,,,,,6.08,1
1872,OG,Miami (FL),300.0,5.11,,25.0,,,,6.42,1
1873,OLB,Stanford,234.0,4.71,,,,,,6.08,1
1874,S,Oklahoma,212.0,4.56,,18.0,,,,6.08,1
1875,OG,Oregon State,307.0,5.15,29.5,22.0,99.0,7.5,4.47,6.5,1
1876,K,Maryland,191.0,5.1,,,,,,5.92,0
1877,K,Ohio State,182.0,4.72,,,,,,5.83,1
1878,QB,Montana,218.0,4.87,28.5,,104.0,7.03,4.13,6.17,0
1879,OT,Tennessee Tech,310.0,5.3,29.5,22.0,101.0,8.19,4.72,6.33,1
1880,QB,Connecticut,225.0,4.93,29.5,,107.0,7.33,4.39,6.42,1
1881,QB,Purdue,233.0,5.06,26.5,,,7.38,4.52,6.33,1
1882,WR,Hawaii,183.0,4.62,37.0,,116.0,6.7,3.94,5.58,1
1883,OT,Southern Miss,323.0,5.31,29.5,17.0,94.0,7.95,4.8,6.58,1
1884,WR,Miami (FL),168.0,4.37,,,,,,5.83,1
1885,ILB,TCU,243.0,4.89,34.0,21.0,115.0,7.31,4.2,6.08,0
1886,DT,USC,292.0,4.93,,26.0,,,,6.0,1
1887,CB,Washington State,204.0,4.35,41.5,15.0,125.0,7.09,3.91,6.0,1
1888,K,BYU,229.0,4.75,,,,,,6.33,0
1889,RB,Virginia,208.0,4.63,34.0,24.0,114.0,7.06,4.08,5.75,1
1890,OT,Colorado State,312.0,5.12,,,,,,6.67,0
1891,CB,Oklahoma,190.0,4.49,40.0,10.0,126.0,7.17,4.07,5.92,1
1892,WR,UCLA,229.0,4.46,34.0,,116.0,7.0,,6.17,1
1893,OT,Pittsburgh,347.0,5.48,,,,,,6.5,1
1894,OLB,Grambling State,236.0,4.69,32.5,22.0,114.0,7.29,4.31,6.25,1
1895,DE,Georgia,265.0,4.75,37.0,25.0,120.0,6.86,3.9,6.17,1
1896,OLB,Oregon State,247.0,4.68,35.0,21.0,116.0,7.41,4.07,6.08,0
1897,S,Oklahoma,207.0,4.52,,,,,,6.08,1
1898,DE,BYU,259.0,4.59,35.5,26.0,110.0,7.27,4.38,6.25,1
1899,DT,Utah,325.0,5.02,32.5,32.0,107.0,7.83,4.44,6.25,1
1901,C,Illinois,311.0,,32.0,21.0,96.0,7.57,4.45,6.42,1
1902,RB,Colorado,210.0,4.67,33.5,15.0,116.0,7.22,4.13,6.0,0
1903,QB,Virginia Tech,225.0,4.71,33.0,,113.0,6.97,4.08,6.0,0
1904,K,Michigan State,210.0,5.0,,,,,,6.17,1
1905,WR,Northwest Missouri State,186.0,4.47,36.5,,122.0,6.78,4.13,5.83,0
1906,CB,North Carolina State,195.0,4.53,40.5,15.0,124.0,7.18,4.28,5.92,0
1907,RB,Syracuse,209.0,4.52,32.0,16.0,109.0,7.23,4.38,5.83,0
1908,K,Kansas State,217.0,,,,,,,6.0,0
1909,S,Louisville,209.0,4.56,42.0,12.0,123.0,6.94,4.12,6.17,1
1910,DE,California,256.0,4.83,,18.0,,,,6.17,1
1911,WR,Ball State,212.0,4.57,33.0,,117.0,7.25,4.39,5.92,0
1912,QB,Florida State,214.0,4.7,33.5,,116.0,7.53,4.53,6.17,0
1913,OG,Georgia Tech,314.0,5.22,36.0,22.0,109.0,8.27,4.76,6.33,0
1914,DT,Iowa,289.0,,34.5,27.0,114.0,7.97,4.53,6.33,0
1915,WR,Indiana,189.0,4.41,36.5,,126.0,6.6,3.94,6.0,1
1916,QB,California,223.0,4.71,34.5,,110.0,7.38,,6.17,1
1917,CB,Auburn,196.0,4.44,40.5,15.0,126.0,6.48,3.82,6.0,1
1918,CB,Miami (FL),201.0,4.48,,15.0,,,,6.0,1
1919,OT,East. Washington,320.0,5.3,29.0,19.0,97.0,7.72,4.5,6.58,1
1920,DE,Iowa,278.0,4.81,32.0,26.0,112.0,7.65,4.36,6.33,1
1921,CB,Houston,193.0,4.27,36.5,,129.0,6.63,3.9,6.08,1
1922,WR,Louisville,206.0,4.56,34.5,,,,,6.25,1
1923,ILB,Nebraska,241.0,4.75,34.5,25.0,112.0,7.22,3.94,6.17,1
1924,WR,Utah,192.0,4.62,,,,,,5.92,0
1925,TE,Texas,249.0,4.75,32.5,24.0,114.0,7.21,4.12,6.25,1
1926,S,North Carolina,214.0,4.44,46.0,17.0,133.0,,,6.0,1
1927,ILB,UNLV,248.0,4.6,36.5,33.0,120.0,7.16,4.11,6.17,1
1928,S,Michigan,228.0,4.65,,,,,,6.33,0
1929,WR,Northern Illinois,179.0,4.43,,,,,,5.75,0
1930,RB,Louisville,246.0,4.53,38.5,,124.0,7.44,4.08,6.08,1
1931,DT,South Carolina,301.0,4.87,34.0,25.0,116.0,7.54,4.31,6.17,1
1932,OT,Oklahoma,318.0,5.39,28.0,26.0,108.0,7.68,4.43,6.42,1
1933,TE,Stanford,258.0,4.88,,28.0,,,,6.33,1
1934,QB,Utah,217.0,4.71,32.0,,113.0,6.82,3.96,6.33,1
1935,OG,Oregon,316.0,5.34,28.5,21.0,93.0,7.83,4.83,6.42,1
1936,DE,LSU,307.0,5.05,,,,,,6.33,1
1937,C,Mississippi,309.0,5.21,32.0,26.0,105.0,8.06,4.59,6.25,1
1938,RB,Kansas State,187.0,4.47,33.0,23.0,105.0,6.96,3.96,5.5,1
1939,CB,Wisconsin,172.0,4.37,43.0,13.0,137.0,6.99,3.9,5.67,1
1940,OG,Oregon,312.0,5.7,31.0,,99.0,8.16,4.65,6.25,0
1941,OT,Mississippi State,314.0,5.25,,24.0,,,,6.5,1
1942,WR,Florida State,221.0,4.62,,,,,,6.08,0
1943,DE,Oregon State,270.0,5.0,34.0,23.0,113.0,7.35,4.24,6.33,1
1944,ILB,USC,238.0,4.83,35.0,23.0,113.0,7.31,4.16,6.0,1
1945,OG,New Mexico,343.0,5.42,24.5,27.0,89.0,8.17,4.75,6.17,1
1946,OT,Syracuse,330.0,5.4,28.0,,96.0,7.89,4.78,6.67,1
1947,DE,Nebraska,269.0,4.9,30.0,27.0,108.0,8.24,4.34,6.33,0
1948,WR,Florida State,188.0,4.38,,,,,,6.08,1
1949,ILB,Georgia,233.0,4.62,34.0,23.0,114.0,7.47,,6.0,1
1950,DE,Notre Dame,268.0,4.71,,,,,,6.42,1
1952,FB,Washington,249.0,5.0,25.5,19.0,100.0,7.57,4.67,6.17,0
1953,S,San Diego State,205.0,4.45,38.0,19.0,118.0,7.12,4.21,5.83,1
1954,DE,Arizona State,280.0,5.02,29.5,18.0,105.0,7.89,4.53,6.25,1
1955,DT,Michigan State,310.0,5.0,32.5,,103.0,7.78,4.64,6.42,1
1956,OLB,Penn State,236.0,4.65,45.5,20.0,130.0,7.12,4.11,6.25,0
1957,OLB,Temple,241.0,4.73,35.5,10.0,112.0,7.45,3.94,6.17,1
1958,QB,Arizona State,233.0,4.86,,,,,,6.5,1
1959,OLB,Troy,251.0,4.56,38.5,27.0,122.0,6.83,4.07,6.33,1
1960,WR,Utah,219.0,4.71,31.5,,,,,6.0,1
1961,CB,Nebraska,188.0,4.29,41.5,18.0,129.0,,3.91,5.83,1
1962,OT,West Virginia,316.0,5.46,27.5,,100.0,,,6.33,0
1963,CB,LSU,199.0,4.5,,9.0,,,,6.0,1
1964,S,Virginia,216.0,4.56,36.5,23.0,120.0,7.46,3.89,5.83,0
1965,OLB,Wisconsin,244.0,4.61,40.5,19.0,130.0,7.83,4.22,6.25,1
1966,WR,Furman,187.0,4.46,37.0,,124.0,7.21,4.22,6.0,0
1967,QB,Oklahoma,223.0,4.9,31.0,,108.0,7.28,4.19,6.17,0
1968,FB,UCLA,244.0,4.64,,,,,,6.17,1
1969,WR,Ala-Birmingham,207.0,4.46,,,,,,6.08,1
1970,OT,Colorado,298.0,5.31,26.5,23.0,102.0,7.43,4.5,6.42,0
1971,C,LSU,299.0,5.46,,,,,,6.25,0
1972,CB,Oregon State,187.0,4.58,36.0,8.0,117.0,,,5.92,0
1973,CB,Kansas State,168.0,4.5,35.0,13.0,121.0,7.24,4.22,5.83,0
1974,RB,Auburn,217.0,4.43,35.5,19.0,118.0,6.94,4.15,5.92,1
1975,CB,Oklahoma State,176.0,4.3,39.0,16.0,124.0,6.97,3.96,5.75,1
1976,WR,USC,229.0,4.56,36.5,,,,,6.42,1
1977,WR,South Carolina,203.0,4.32,,,,6.99,,6.08,1
1978,OT,Florida State,327.0,5.18,,27.0,,,,6.5,1
1979,CB,Stanford,185.0,4.36,39.5,14.0,125.0,,,6.0,1
1980,CB,Louisiana Tech,193.0,4.5,38.0,18.0,118.0,6.81,4.07,6.0,0
1981,OLB,Alabama,236.0,4.71,37.0,22.0,110.0,,4.38,6.08,1
1982,OG,BYU,312.0,5.08,35.0,43.0,115.0,7.46,4.37,6.33,1
1983,DE,Villanova,277.0,5.0,27.0,22.0,109.0,7.91,4.76,6.42,0
1984,DT,Nebraska,306.0,5.07,30.5,15.0,103.0,7.49,4.54,6.25,1
1985,S,West Virginia,214.0,4.7,38.5,,122.0,,,5.83,0
1986,RB,LSU,214.0,4.4,38.5,18.0,125.0,7.09,4.47,5.92,1
1987,DE,Indiana,274.0,4.86,32.0,22.0,112.0,7.37,4.41,6.33,1
1988,S,Tennessee,209.0,4.39,39.5,17.0,131.0,6.75,3.81,6.08,1
1989,OLB,Stanford,223.0,4.5,40.0,30.0,132.0,6.9,4.13,6.08,1
1990,DT,Oregon State,306.0,5.19,28.5,27.0,100.0,7.69,4.55,6.33,0
1991,WR,Colorado State,192.0,4.57,34.0,,116.0,6.88,4.2,5.83,1
1992,OLB,Virginia Tech,229.0,4.59,41.0,,121.0,6.67,4.07,6.25,1
1993,DE,Alabama,254.0,4.62,42.0,20.0,127.0,6.95,4.22,6.33,1
1994,S,Baylor,193.0,4.43,36.5,7.0,124.0,6.99,4.27,5.75,1
1995,WR,Auburn,201.0,4.35,39.0,,120.0,7.04,4.16,6.17,1
1996,WR,Monmouth (NJ),215.0,4.47,40.5,21.0,123.0,7.09,4.14,6.17,0
1997,WR,Michigan,212.0,4.62,37.0,20.0,118.0,,,6.0,1
1998,QB,Northwestern,220.0,4.76,34.0,,114.0,6.75,4.22,6.08,0
1999,WR,New Mexico,224.0,4.5,35.0,,119.0,6.79,4.17,6.25,0
2000,P,Arizona,194.0,,,,,,,5.83,0
2001,RB,Arizona,221.0,4.6,31.5,19.0,112.0,7.16,4.21,6.0,0
2002,DE,Clemson,258.0,4.7,33.5,19.0,115.0,7.48,4.52,6.33,1
2003,FB,Wisconsin,260.0,4.91,29.5,22.0,110.0,7.46,4.5,6.0,0
2004,S,Howard,203.0,4.39,36.5,19.0,127.0,6.99,4.11,5.92,1
2005,TE,Washington State,256.0,4.8,,,,,,6.42,0
2006,WR,Georgia Tech,214.0,4.7,36.5,19.0,115.0,6.9,4.18,6.17,0
2007,S,USC,227.0,4.53,34.0,17.0,120.0,7.25,4.07,6.17,1
2008,CB,Boston Col.,198.0,4.47,41.0,,133.0,6.67,4.23,6.0,1
2009,WR,Colorado,173.0,4.49,,,,,,5.75,1
2010,S,Georgia,216.0,4.57,37.5,16.0,120.0,,,6.17,1
2011,OT,Cornell,316.0,5.41,31.5,23.0,98.0,8.36,5.07,6.42,1
2012,WR,Wyoming,195.0,4.71,34.0,,120.0,6.93,4.03,6.08,0
2013,DT,Mississippi,289.0,5.01,30.5,30.0,109.0,,4.75,6.08,0
2014,ILB,Oregon State,231.0,4.9,32.0,18.0,109.0,7.15,4.41,6.08,0
2015,S,Arizona,198.0,4.61,36.5,7.0,125.0,6.97,4.36,6.0,0
2016,DT,BYU,301.0,5.1,34.5,21.0,111.0,7.63,4.47,6.25,0
2017,DE,Arizona,253.0,4.9,33.0,16.0,117.0,7.11,4.3,6.33,0
2018,S,Nebraska,212.0,4.38,38.0,18.0,124.0,6.91,4.16,6.0,1
2019,DT,Florida State,306.0,5.01,32.5,44.0,113.0,,,6.25,1
2020,RB,USC,201.0,4.37,,,,,,5.92,1
2021,OT,Virginia,310.0,5.29,,,,,,6.58,1
2022,OT,Miami (FL),293.0,5.3,28.0,16.0,106.0,7.9,4.55,6.42,1
2023,TE,USC,255.0,4.79,,,,,,6.25,1
2024,RB,Wisconsin,201.0,4.57,31.5,18.0,124.0,7.05,4.2,5.75,1
2025,OLB,Ohio State,256.0,4.65,,,,,,6.17,1
2026,WR,Texas A&M,211.0,4.6,33.0,,116.0,6.89,4.21,6.0,0
2027,C,Oklahoma,303.0,4.83,31.5,27.0,106.0,7.31,4.5,6.25,1
2028,OT,Kansas State,309.0,5.28,26.0,24.0,102.0,7.8,4.63,6.5,1
2029,QB,Oregon,224.0,4.89,,,,,,6.17,1
2030,DT,Northwestern,304.0,4.95,34.0,35.0,105.0,7.43,4.35,6.33,1
2031,OT,Boise State,299.0,5.05,32.5,21.0,110.0,7.43,4.58,6.33,1
2032,WR,Hofstra,224.0,4.5,37.0,16.0,123.0,6.94,4.43,6.42,1
2034,OT,New Mexico,328.0,5.47,26.5,28.0,97.0,7.93,4.66,6.58,1
2035,CB,Florida State,208.0,4.47,38.0,18.0,132.0,,,6.17,1
2036,QB,Alabama,205.0,4.88,30.5,,104.0,7.34,4.25,6.17,1
2037,QB,Vanderbilt,226.0,4.77,,23.0,,7.1,4.26,6.25,1
2038,TE,Wisconsin,253.0,4.65,34.5,23.0,114.0,6.87,4.1,6.25,1
2039,RB,Georgia Tech,214.0,4.64,33.0,21.0,116.0,7.13,4.4,5.83,1
2040,TE,Maryland,254.0,4.38,42.0,33.0,128.0,7.0,4.17,6.25,1
2041,TE,Purdue,263.0,4.87,31.5,27.0,108.0,7.53,4.37,6.42,1
2042,TE,Oregon,256.0,4.74,35.0,24.0,109.0,7.03,4.2,6.25,0
2043,C,Florida,305.0,5.42,26.0,24.0,98.0,8.03,4.67,6.42,0
2044,S,San Diego State,198.0,4.7,31.0,17.0,117.0,6.91,4.09,6.0,0
2045,WR,Nebraska-Omaha,224.0,4.65,33.0,13.0,110.0,7.02,4.33,6.25,0
2046,ILB,Washington State,247.0,4.74,,,,,,6.0,0
2047,ILB,Iowa State,246.0,4.59,35.5,23.0,110.0,7.25,4.39,6.08,1
2048,S,Northern Colorado,209.0,4.65,37.0,15.0,121.0,6.66,4.17,6.0,1
2049,DT,Syracuse,290.0,5.25,30.5,17.0,108.0,8.12,,6.42,0
2050,DE,Louisville,257.0,4.75,,30.0,,,,5.92,1
2051,DT,Oklahoma,306.0,5.01,34.0,31.0,110.0,7.62,4.35,6.25,1
2052,DE,Purdue,273.0,4.81,39.0,30.0,114.0,7.71,4.57,6.42,1
2053,OLB,Oregon State,235.0,4.76,32.5,24.0,115.0,7.22,4.16,6.08,1
2054,C,Minnesota,292.0,5.13,30.0,28.0,101.0,7.59,4.68,6.25,1
2055,QB,Grambling State,260.0,5.12,27.5,,94.0,7.97,4.76,6.0,0
2056,OT,Texas A&M,316.0,5.25,27.0,20.0,95.0,7.97,4.8,6.33,1
2057,TE,Notre Dame,259.0,4.72,33.5,19.0,112.0,6.94,4.34,6.33,1
2058,TE,California-Davis,259.0,4.95,29.5,19.0,108.0,7.27,4.46,6.25,0
2059,OT,Virginia,312.0,5.08,,,,,,6.5,1
2060,OLB,Tennessee,234.0,4.78,37.0,23.0,116.0,7.31,4.28,6.08,1
2061,RB,Utah,218.0,4.5,35.0,29.0,119.0,7.19,,5.75,1
2062,RB,Houston,228.0,4.6,,,,,,5.83,0
2063,DE,Cal Poly,263.0,4.7,38.5,28.0,123.0,7.05,4.08,6.17,1
2064,DT,Georgia,300.0,4.88,33.0,31.0,111.0,7.6,4.45,6.33,1
2065,CB,Kansas,183.0,4.6,35.5,12.0,115.0,6.95,4.2,5.83,0
2066,QB,Toledo,217.0,4.59,34.0,,107.0,7.12,4.16,6.08,1
2067,DT,Ohio State,295.0,5.14,31.0,33.0,108.0,7.62,4.86,6.08,0
2068,WR,LSU,192.0,4.53,34.0,,118.0,,,5.75,1
2069,OLB,Iowa,242.0,4.76,33.5,16.0,117.0,7.0,4.22,6.17,1
2070,S,Texas,199.0,4.51,35.5,17.0,125.0,6.84,4.1,6.0,1
2071,QB,Ala-Birmingham,239.0,4.82,33.0,,110.0,7.62,4.69,6.0,0
2072,WR,Arizona State,208.0,4.45,36.0,,124.0,,4.07,6.17,1
2073,RB,Virginia,202.0,4.67,35.0,,114.0,7.03,4.38,5.75,1
2074,DE,Penn State,275.0,4.87,,,,,,6.25,1
2075,RB,South Florida,208.0,4.4,33.0,18.0,113.0,7.38,,5.67,0
2076,WR,Tennessee,205.0,4.48,34.5,,122.0,,,6.25,0
2077,DE,Tennessee,253.0,4.8,32.0,24.0,115.0,7.37,4.26,6.08,1
2078,S,Alabama,198.0,4.5,,19.0,,,,6.0,1
2079,S,Penn State,209.0,4.7,40.5,15.0,119.0,7.02,4.12,6.0,0
2080,FB,Arizona,235.0,4.73,36.0,20.0,117.0,7.0,4.38,6.17,0
2081,DT,Miami (FL),301.0,5.27,,25.0,,,,6.25,1
2082,RB,Washington State,201.0,4.47,34.5,19.0,124.0,6.77,4.07,5.75,1
2083,WR,Oregon State,208.0,4.59,32.0,,116.0,6.97,4.14,6.08,1
2085,DE,Grambling State,284.0,4.82,35.5,28.0,113.0,7.67,4.49,6.5,1
2086,ILB,UCLA,242.0,4.69,39.0,,116.0,6.81,4.07,6.25,0
2087,OLB,Ohio State,248.0,4.59,40.0,24.0,115.0,6.82,3.96,6.08,1
2088,CB,Marshall,183.0,4.51,37.0,16.0,116.0,,4.18,5.83,0
2089,RB,Texas Tech,204.0,4.62,32.5,,112.0,7.01,4.4,5.75,0
2090,DE,Georgia Tech,270.0,4.75,,30.0,,,,6.17,0
2091,TE,Florida State,248.0,4.73,29.0,16.0,111.0,7.44,4.44,6.33,0
2092,S,Florida,207.0,4.85,36.5,15.0,116.0,7.34,4.23,5.92,0
2093,WR,Miami (FL),190.0,4.41,38.0,16.0,124.0,,,5.92,1
2094,CB,Clemson,185.0,4.34,41.0,,129.0,6.63,4.01,5.83,1
2095,WR,Iowa,190.0,4.54,34.0,,116.0,6.97,4.1,6.0,0
2096,ILB,Iowa,236.0,4.76,31.0,,108.0,7.09,4.3,6.0,1
2097,WR,Ohio State,188.0,4.35,,,,,,5.92,1
2098,CB,Georgia Tech,192.0,4.62,41.5,21.0,127.0,,4.42,6.0,0
2099,OLB,Texas-El Paso,239.0,4.42,39.0,21.0,124.0,6.96,4.28,6.25,1
2100,ILB,North Carolina State,245.0,4.93,32.0,19.0,112.0,7.47,4.3,6.25,0
2101,S,North Carolina State,194.0,4.55,,11.0,,,,6.08,1
2102,S,Texas,204.0,4.34,40.5,21.0,125.0,,,6.0,1
2103,RB,Virginia Tech,227.0,4.62,30.5,18.0,106.0,7.07,4.22,6.08,1
2104,CB,Miami (OH),206.0,4.44,36.0,8.0,123.0,,4.11,6.0,0
2105,K,Ohio State,209.0,,,,,,,6.08,0
2106,OLB,Oklahoma,244.0,4.65,41.0,22.0,,7.12,4.1,6.17,1
2107,OLB,Colorado,234.0,4.66,,20.0,,,,6.0,0
2108,WR,Florida,213.0,4.32,38.5,,122.0,6.73,3.97,6.08,1
2109,ILB,Maryland,230.0,4.73,37.0,19.0,116.0,7.05,4.36,6.0,1
2110,QB,Arkansas,226.0,4.69,31.5,22.0,107.0,7.4,4.38,6.17,1
2111,DT,Auburn,304.0,5.15,31.0,26.0,104.0,7.72,4.6,6.0,0
2112,QB,Bowling Green,232.0,4.84,32.5,,108.0,7.47,4.29,6.33,1
2113,OG,Georgia,355.0,5.48,24.5,27.0,95.0,8.56,5.08,6.33,1
2114,DE,Stanford,277.0,5.03,34.5,25.0,110.0,7.11,4.23,6.33,1
2115,WR,Fresno State,181.0,4.44,37.5,,118.0,6.88,4.12,5.75,1
2116,WR,West. Michigan,197.0,4.42,36.5,,117.0,6.68,4.16,5.92,1
2117,CB,Miami (FL),178.0,4.39,40.0,,120.0,,4.0,5.92,1
2118,CB,Georgia,185.0,4.32,37.5,17.0,117.0,,,5.67,1
2119,OLB,Louisville,228.0,4.44,37.0,11.0,118.0,7.17,4.34,6.42,1
2120,DT,Texas A&M,317.0,5.41,,,104.0,,,6.25,1
2121,RB,UCLA,207.0,4.39,36.0,18.0,116.0,7.08,4.38,5.58,1
2122,OG,Oklahoma,311.0,5.09,32.0,24.0,111.0,,4.97,6.25,1
2123,CB,South Carolina,193.0,4.31,37.0,15.0,123.0,6.92,4.23,5.92,1
2124,OT,USC,319.0,5.16,35.0,,110.0,7.31,4.53,6.5,1
2125,ILB,San Diego State,224.0,4.68,36.0,15.0,113.0,7.01,4.12,5.92,1
2126,OLB,Kansas,237.0,4.78,30.5,12.0,109.0,7.03,4.36,6.33,0
2127,OLB,Maryland,240.0,4.63,37.0,21.0,111.0,6.95,4.17,6.25,0
2128,TE,Virginia Tech,245.0,4.83,32.5,21.0,109.0,6.99,4.09,6.42,1
2129,FB,USC,233.0,4.76,29.5,,106.0,7.18,4.31,5.92,1
2130,DE,Boston Col.,266.0,4.7,32.0,17.0,120.0,7.27,4.13,6.5,1
2131,TE,Colorado,255.0,4.63,36.0,27.0,112.0,7.39,4.21,6.5,1
2132,DE,Ohio State,265.0,4.72,37.0,45.0,114.0,7.21,4.45,6.17,0
2133,OG,North Dakota,301.0,5.1,30.0,24.0,109.0,7.59,4.6,6.33,1
2134,DE,Syracuse,257.0,4.62,34.0,34.0,113.0,7.25,4.3,6.17,1
2136,S,Georgia Tech,220.0,4.64,37.5,18.0,124.0,,4.27,6.08,1
2137,OLB,North Carolina State,241.0,4.43,39.5,23.0,124.0,6.9,4.18,6.42,1
2138,CB,Pittsburgh,197.0,4.48,40.5,16.0,120.0,,,6.0,1
2139,WR,Pittsburgh,201.0,4.59,35.5,,114.0,6.8,4.09,6.17,0
2140,QB,USC,223.0,4.9,,,,,,6.42,1
2141,DT,Virginia Tech,309.0,4.97,33.5,24.0,111.0,7.4,4.4,6.08,1
